,sex,year,rate_per_100k
0,female,1979,4.857347470179544
1,female,1980,5.423959247796113
2,female,1981,5.870949430779384
3,female,1982,6.0673199948978365
4,female,1983,4.542453598928822
5,female,1984,5.3612444956241685
6,female,1985,6.087542755004933
7,female,1986,6.496989260628768
8,female,1987,6.548740981702248
9,female,1988,7.065783341092123
10,female,1989,6.938407402300145
11,female,1990,6.316965439745502
12,female,1991,6.271123875927697
13,female,1992,6.775442835346047
14,female,1993,6.472938419750119
15,female,1994,6.56458129796288
16,female,1995,6.392447479764284
17,female,1996,6.202065699589436
18,female,1997,6.021561225484267
19,female,1998,5.9545329870660755
20,female,1999,5.805575740111136
21,female,2000,5.559122575940159
22,female,2001,5.446943588106918
23,female,2002,5.321436484819391
24,female,2003,5.009711812444044
25,female,2004,4.758019481103549
26,female,2005,4.725636411599649
27,female,2006,4.571254348566882
28,female,2007,4.81800787984429
29,female,2008,4.69629519204207
30,female,2009,4.403490767039903
31,female,2010,4.463461858120127
32,female,2011,4.100750946509721
33,female,2012,4.222419069641887
34,female,2013,4.116329978961522
35,female,2014,4.151290961920613
36,female,2015,4.309599254177834
38,male,1979,11.181997461558758
39,male,1980,15.240474720486514
40,male,1981,18.035011186832037
41,male,1982,18.982154165699498
42,male,1983,13.579433991159453
43,male,1984,16.877876486989457
44,male,1985,19.99767847825791
45,male,1986,19.57934171539698
46,male,1987,19.73906584698924
47,male,1988,21.073383500314588
48,male,1989,21.814909054510377
49,male,1990,20.97373927917062
50,male,1991,21.48890270797279
51,male,1992,22.3465878333585
52,male,1993,23.5928954224451
53,male,1994,23.685885580292624
54,male,1995,24.42068868833409
55,male,1996,23.82842886380937
56,male,1997,23.696785738429565
57,male,1998,23.236151097636228
58,male,1999,22.699095209429462
59,male,2000,21.316901857463844
60,male,2001,21.030029833424223
61,male,2002,20.651410118862312
62,male,2003,20.117502006033657
63,male,2004,18.72465128625394
64,male,2005,17.58311222112934
65,male,2006,18.32501658238269
66,male,2007,18.484236576529298
67,male,2008,18.23848250829646
68,male,2009,17.9991066976345
69,male,2010,17.20903148627879
70,male,2011,16.256139720042864
71,male,2012,16.724179519631576
72,male,2013,16.182425980609604
73,male,2014,16.067513420821587
74,male,2015,15.951217310722038
