,unique_values,counts
278,Coolgardie ,7
279,Brookton ,7
280,North Sydney,7
281,Alpine ,7
282,West Wimmera ,7
283,Circular Head ,7
284,Port Augusta ,7
285,Moree Plains,7
286,Esperance ,7
287,Cassowary Coast ,7
288,Ashburton ,7
289,Cowra,7
290,Yarra ,7
291,Walcha,7
292,East Pilbara ,7
293,Mitcham ,7
294,Melville ,7
295,Vincent ,7
296,Wodonga ,7
297,Kangaroo Island ,7
298,Port Phillip ,7
299,Irwin ,7
300,Waverley,7
301,Forbes,7
302,Whyalla ,7
303,Halls Creek ,7
304,Cook ,6
305,Livingstone ,6
306,Gunnedah,6
307,Gnowangerup ,6
308,Redland ,6
309,Gilgandra,6
310,Burdekin ,6
311,Narrandera,6
312,Bunbury ,6
313,Liverpool Plains,6
314,Cambridge ,6
315,Belmont ,6
316,Karratha ,6
317,Dandaragan ,6
318,Katherine ,6
319,Victoria Plains ,6
320,Central Coast  ,6
321,Walgett,6
322,East Arnhem ,6
323,Burnside ,5
324,Mount Remarkable ,5
325,Temora,5
326,Devonport ,5
327,Kentish ,5
328,York ,5
329,Victor Harbor ,5
330,Murrumbidgee,5
331,Boddington ,5
332,Holdfast Bay ,5
333,Wandering ,5
334,Kiama,5
335,Carnarvon ,5
336,Maranoa ,5
337,Derwent Valley ,5
338,Bogan,5
339,Streaky Bay ,5
340,Northampton ,5
341,Berri and Barmera ,5
342,West Arthur ,5
343,Yankalilla ,5
344,Goondiwindi ,5
345,Oberon,5
346,Charters Towers ,5
347,Berrigan,5
348,Narrogin ,5
349,Unley ,5
350,Blayney,5
351,Murray River,5
352,Grant ,5
353,Lachlan,5
354,Denmark ,5
355,Lower Eyre Peninsula ,5
356,Leeton,4
357,Hay,4
358,Quairading ,4
359,Merredin ,4
360,Williams ,4
361,Edward River,4
362,Renmark Paringa ,4
363,Gawler ,4
364,Albury,4
365,Burwood,4
366,Lake Grace ,4
367,Carrathool,4
368,Bridgetown-Greenbushes ,4
369,Cloncurry ,4
370,Dungog,4
371,Norwood Payneham St Peters ,4
372,Balranald,4
373,Dalwallinu ,4
374,Mount Isa ,4
375,Beverley ,4
376,Bruce Rock ,4
377,Gannawarra ,4
378,Burnie ,4
379,Break O'Day ,4
380,Yarriambiack ,4
381,Lane Cove,4
382,Woollahra,4
383,Yilgarn ,4
384,Carnamah ,3
385,Etheridge ,3
386,Jerramungup ,3
387,Central Darling,3
388,Ceduna ,3
389,Uralla,3
390,Kellerberrin ,3
391,South Perth ,3
392,Victoria Park ,3
393,Moora ,3
394,Cobar,3
395,Tumby Bay ,3
396,Kondinin ,3
397,Brewarrina,3
398,Coolamon,3
399,Franklin Harbour ,3
400,Copper Coast ,3
401,Nedlands ,3
402,Prospect ,3
403,Nannup ,3
404,Gwydir,3
405,Weddin,3
406,Hunters Hill,3
407,Corrigin ,3
408,Westonia ,3
409,Kojonup ,3
410,Mount Magnet ,3
411,Sorell ,2
412,Claremont ,2
413,Mornington ,2
414,Hindmarsh ,2
415,Mount Gambier ,2
416,Meekatharra ,2
417,Bourke,2
418,Campbelltown  ,2
419,Bassendean ,2
420,Glamorgan/Spring Bay ,2
421,Karoonda East Murray ,2
422,Lockhart,2
423,Barunga West ,2
424,Coomalie ,2
425,Hinchinbrook ,2
426,King Island ,2
427,Dumbleyung ,2
428,Robe ,2
429,Cunderdin ,2
430,Hope Vale ,2
431,Tasman ,2
432,Douglas ,2
433,Wagin ,2
434,Chapman Valley ,2
435,West Daly ,2
436,Balonne ,2
437,Longreach ,2
438,Northern Areas ,2
439,Cue ,2
440,Dorset ,2
441,Unincorporated Vic,2
442,Wongan-Ballidu ,2
443,Northern Peninsula Area ,2
444,Pingelly ,2
445,Ravensthorpe ,2
446,Banana ,2
447,Barcoo ,2
448,Southern Mallee ,1
449,Trayning ,1
450,Flinders Ranges ,1
451,Morawa ,1
452,Kalgoorlie - Bo,1
453,Boyup Brook ,1
454,Goomalling ,1
455,Sandstone ,1
456,Mosman Park ,1
457,Quilpie ,1
458,Cuballing ,1
459,Port Hedland (T,1
460,East Pilbara,1
461,Derby - West Ki,1
462,Cottesloe ,1
463,Kimba ,1
464,Mingenew ,1
